Global Land and Ocean August Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Anomaly
1850,-0.11
1851,-0.01
1852,0.07
1853,-0.01
1854,-0.12
1855,-0.13
1856,-0.30
1857,-0.16
1858,-0.21
1859,-0.13
1860,-0.24
1861,-0.09
1862,-0.29
1863,-0.13
1864,-0.17
1865,-0.08
1866,-0.17
1867,-0.12
1868,-0.11
1869,-0.18
1870,-0.16
1871,-0.14
1872,-0.09
1873,-0.08
1874,-0.13
1875,-0.08
1876,-0.15
1877,0.11
1878,0.05
1879,-0.17
1880,-0.13
1881,-0.05
1882,-0.07
1883,-0.16
1884,-0.31
1885,-0.31
1886,-0.29
1887,-0.34
1888,-0.19
1889,-0.12
1890,-0.33
1891,-0.15
1892,-0.27
1893,-0.28
1894,-0.22
1895,-0.15
1896,-0.04
1897,-0.05
1898,-0.22
1899,-0.04
1900,-0.07
1901,-0.15
1902,-0.24
1903,-0.41
1904,-0.42
1905,-0.23
1906,-0.21
1907,-0.31
1908,-0.42
1909,-0.33
1910,-0.37
1911,-0.44
1912,-0.43
1913,-0.31
1914,-0.18
1915,-0.11
1916,-0.27
1917,-0.22
1918,-0.28
1919,-0.32
1920,-0.23
1921,-0.18
1922,-0.27
1923,-0.32
1924,-0.29
1925,-0.16
1926,-0.11
1927,-0.14
1928,-0.19
1929,-0.23
1930,-0.10
1931,-0.01
1932,-0.15
1933,-0.19
1934,-0.09
1935,-0.14
1936,-0.07
1937,0.06
1938,-0.03
1939,0.02
1940,0.11
1941,0.20
1942,-0.01
1943,0.02
1944,0.18
1945,0.28
1946,-0.12
1947,-0.09
1948,-0.05
1949,-0.05
1950,-0.09
1951,0.11
1952,0.06
1953,0.10
1954,-0.05
1955,-0.02
1956,-0.19
1957,0.26
1958,0.01
1959,0.04
1960,0.01
1961,0.05
1962,0.07
1963,0.18
1964,-0.19
1965,0.01
1966,-0.02
1967,0.09
1968,-0.02
1969,0.10
1970,0.03
1971,-0.02
1972,0.09
1973,0.13
1974,0.05
1975,-0.02
1976,0.00
1977,0.16
1978,0.00
1979,0.25
1980,0.22
1981,0.26
1982,0.15
1983,0.36
1984,0.19
1985,0.15
1986,0.15
1987,0.34
1988,0.50
1989,0.32
1990,0.38
1991,0.37
1992,0.11
1993,0.11
1994,0.26
1995,0.50
1996,0.44
1997,0.46
1998,0.69
1999,0.34
2000,0.47
2001,0.48
2002,0.52
2003,0.59
2004,0.44
2005,0.59
2006,0.73
2007,0.58
2008,0.47
2009,0.70
2010,0.66
2011,0.70
2012,0.65
2013,0.70
2014,0.83
2015,0.83
2016,0.97
2017,0.89
2018,0.76
2019,0.92
2020,0.90
2021,0.84
2022,0.93
2023,1.22
